epoch	loss	acc	lr
0	0.46101136365905404	0.8076171875	0.001
1	0.3646438920404762	0.84228515625	0.001
2	0.3311739736236632	0.85986328125	0.001
3	0.2856874647550285	0.88330078125	0.001
4	0.2511380492942408	0.90283203125	0.001
5	0.2327376315370202	0.91748046875	0.001
6	0.20547447307035327	0.9248046875	0.001
7	0.18240235082339495	0.9384765625	0.001
8	0.1707209541928023	0.9482421875	0.001
9	0.15782296191900969	0.95166015625	0.001
10	0.13404366851318628	0.9619140625	0.001
11	0.13626555411610752	0.9609375	0.001
12	0.12228807911742479	0.96484375	0.001
13	0.12962403113488108	0.95947265625	0.001
14	0.11951339678489603	0.9619140625	0.001
15	0.10943937103729695	0.9677734375	0.001
16	0.10479602022678591	0.97216796875	0.001
17	0.09381574639701284	0.9765625	0.001
18	0.09751044632866979	0.970703125	0.001
19	0.09153486700961366	0.97265625	0.001
20	0.10741596805746667	0.96826171875	0.001
21	0.0806347063917201	0.9765625	0.001
22	0.08893908490426838	0.97412109375	0.001
23	0.0876918506110087	0.96923828125	0.001
24	0.08155885795713402	0.97607421875	0.001
25	0.09402475584647618	0.97314453125	0.001
26	0.08658454578835517	0.97412109375	0.001
27	0.07688502757810056	0.9736328125	0.001
28	0.07786555527127348	0.97705078125	0.001
29	0.07330440892837942	0.978515625	0.001
30	0.0734298538591247	0.9775390625	0.001
31	0.08355992290307768	0.9765625	0.001
32	0.07183262085891329	0.978515625	0.001
33	0.08399623222067021	0.97119140625	0.001
34	0.06905636165174656	0.97802734375	0.001
35	0.0706657616829034	0.97900390625	0.001
36	0.05784064473118633	0.98193359375	0.001
37	0.07397714286344126	0.9775390625	0.001
38	0.07755980780348182	0.97705078125	0.001
39	0.07106788773671724	0.98046875	0.001
40	0.06529359865817241	0.98046875	0.001
41	0.07067434082273394	0.9765625	0.001
42	0.07770378357963637	0.9755859375	0.001
43	0.08401675408822484	0.97314453125	0.001
44	0.0702890154934721	0.97900390625	0.001
45	0.06203982658917084	0.9814453125	0.001
46	0.06748410474392585	0.97802734375	0.001
47	0.06778518535429612	0.97998046875	0.001
48	0.06266546080587432	0.982421875	0.001
49	0.06569373892853037	0.97998046875	0.001
50	0.06620591817772947	0.98095703125	0.001
51	0.05439465181552805	0.98388671875	0.001
52	0.07086185194202699	0.97998046875	0.001
53	0.06640536314807832	0.9794921875	0.001
54	0.06390113216184545	0.98046875	0.001
55	0.060418224515160546	0.98095703125	0.001
56	0.053917247481876984	0.98388671875	0.001
57	0.062318468058947474	0.982421875	0.001
58	0.044601530928048305	0.98681640625	0.001
59	0.06243229177198373	0.97900390625	0.001
60	0.061547273508040234	0.98095703125	0.001
61	0.05559101923427079	0.986328125	0.001
62	0.07281168582267128	0.97802734375	0.001
63	0.047405563440406695	0.9873046875	0.001
64	0.05834426936053205	0.9794921875	0.001
65	0.057315380428917706	0.984375	0.001
66	0.05492717181914486	0.98388671875	0.001
67	0.06387841615651269	0.982421875	0.001
68	0.04783030861290172	0.98486328125	0.001
69	0.07212984780198894	0.9775390625	0.001
70	0.053498079505516216	0.98095703125	0.001
71	0.054630091195576824	0.9833984375	0.001
